tpep_pickup_datetime,pickup_zone,dropoff_zone,trip_distance,trip_duration_min,fare_amount,total_amount,avg_speed_mph,flag_zero_distance_paid,flag_extreme_fare,flag_extreme_total,flag_extreme_distance,flag_extreme_duration,flag_neg_tip,flag_impossible_speed,iqr_fare_amount,iqr_trip_distance,iqr_trip_duration_min
2023-02-21 09:26:25,Clinton East,Outside of NYC,79.56,108.07,507.7,518.25,44.171370408068846,0,1,0,0,0,0,0,1,1,1
2023-03-12 17:17:42,JFK Airport,Outside of NYC,86.45,94.25,502.1,532.7,55.03448275862069,0,1,0,0,0,0,0,1,1,1
2023-02-17 14:19:53,JFK Airport,Outside of NYC,87.3,141.72,500.7,588.25,36.96020321761219,0,1,0,0,0,0,0,1,1,1
2023-02-28 08:36:20,JFK Airport,Outside of NYC,73.47,99.02,500.7,503.45,44.51827913552818,0,1,0,0,0,0,0,1,1,1
2023-03-13 19:20:18,LaGuardia Airport,Outside of NYC,176.9,183.33,500.0,660.95,57.89559810178366,0,0,0,1,1,0,0,1,1,1
2023-01-04 18:58:27,Times Sq/Theatre District,Outside of NYC,5.04,13.9,500.0,517.25,21.755395683453237,0,0,0,0,0,0,0,1,0,0
2023-03-17 00:01:47,JFK Airport,Outside of NYC,113.05,131.15,500.0,521.55,51.71940526115135,0,0,0,1,0,0,0,1,1,1
2023-02-19 22:56:14,JFK Airport,Outside of NYC,135.42,121.53,500.0,507.55,66.85756603307824,0,0,0,1,0,0,0,1,1,1
2023-02-12 16:34:39,Outside of NYC,Outside of NYC,7.29,5.97,500.0,501.5,73.26633165829146,0,0,0,0,0,0,0,1,1,0
2023-01-05 15:57:36,JFK Airport,Outside of NYC,71.63,117.22,497.9,500.65,36.66439174202354,0,0,0,0,0,0,0,1,1,1
2023-01-12 16:32:18,JFK Airport,Outside of NYC,87.53,137.75,497.2,508.5,38.125589836660616,0,0,0,0,0,0,0,1,1,1
2023-01-02 11:18:05,JFK Airport,Outside of NYC,80.96,87.53,496.5,505.8,55.49640123386267,0,0,0,0,0,0,0,1,1,1
2023-01-20 15:39:16,JFK Airport,Outside of NYC,68.17,147.37,495.1,497.85,27.754631200379993,0,0,0,0,0,0,0,1,1,1
2023-03-31 06:43:25,JFK Airport,Outside of NYC,84.77,106.53,493.0,517.05,47.74429738101943,0,0,0,0,0,0,0,1,1,1
2023-02-27 13:07:45,JFK Airport,Outside of NYC,72.85,75.43,489.5,492.25,57.94776614079278,0,0,0,0,0,0,0,1,1,1
2023-03-06 16:18:32,JFK Airport,Outside of NYC,90.14,131.58,487.5,496.39,41.103511171910625,0,0,0,0,0,0,0,1,1,1
2023-02-06 13:50:43,JFK Airport,Outside of NYC,78.39,97.68,487.0,497.46,48.151105651105645,0,0,0,0,0,0,0,1,1,1
2023-02-18 20:59:28,JFK Airport,Outside of NYC,73.92,97.17,486.0,490.75,45.64371719666564,0,0,0,0,0,0,0,1,1,1
2023-02-02 17:56:24,JFK Airport,Outside of NYC,70.98,99.52,483.9,487.9,42.79340836012862,0,0,0,0,0,0,0,1,1,1
2023-01-30 06:57:42,Midtown East,Outside of NYC,78.2,119.98,483.2,487.2,39.10651775295883,0,0,0,0,0,0,0,1,1,1
2023-01-09 22:44:50,JFK Airport,Outside of NYC,58.96,75.4,480.0,521.55,46.91777188328912,0,0,0,0,0,0,0,1,1,1
2023-03-13 22:19:39,LaGuardia Airport,Outside of NYC,73.07,108.38,479.0,506.55,40.45211293596604,0,0,0,0,0,0,0,1,1,1
2023-02-05 15:08:46,JFK Airport,Outside of NYC,77.04,101.37,479.0,487.8,45.599289730689556,0,0,0,0,0,0,0,1,1,1
2023-03-07 07:01:07,JFK Airport,Outside of NYC,80.4,113.23,475.5,581.75,42.60355029585799,0,0,0,0,0,0,0,1,1,1
2023-03-08 14:42:09,East Harlem South,Central Park,58.6,261.6,475.0,519.1,13.440366972477063,0,0,0,0,1,0,0,1,1,1
2023-03-19 14:58:50,Midtown South,Outside of NYC,0.21,0.93,475.0,478.51,13.548387096774192,0,0,0,0,0,0,0,1,0,0
2023-02-03 08:58:32,JFK Airport,Outside of NYC,73.0,94.47,474.0,497.55,46.3639250555732,0,0,0,0,0,0,0,1,1,1
2023-01-13 15:39:36,LaGuardia Airport,Outside of NYC,72.61,122.55,472.7,485.45,35.549571603427175,0,0,0,0,0,0,0,1,1,1
2023-01-09 17:42:42,JFK Airport,Outside of NYC,77.4,114.22,472.0,545.55,40.658378567676415,0,0,0,0,0,0,0,1,1,1
2023-03-04 14:14:08,JFK Airport,Outside of NYC,82.8,124.67,471.3,496.35,39.84920189299751,0,0,0,0,0,0,0,1,1,1
2023-02-03 02:37:26,Upper West Side North,Outside of NYC,71.8,90.53,468.0,469.0,47.58643543576715,0,0,0,0,0,0,0,1,1,1
2023-01-08 17:12:37,JFK Airport,Outside of NYC,82.04,103.98,466.0,498.55,47.3398730525101,0,0,0,0,0,0,0,1,1,1
2023-01-03 03:52:49,East Elmhurst,Outside of NYC,72.14,95.43,459.4,468.45,45.356806035837785,0,0,0,0,0,0,0,1,1,1
2023-02-18 17:22:37,Penn Station/Madison Sq West,Outside of NYC,70.71,84.08,455.2,488.7,50.459086584205515,0,0,0,0,0,0,0,1,1,1
2023-01-12 01:44:37,LaGuardia Airport,Outside of NYC,71.69,86.07,455.2,470.5,49.975601254792615,0,0,0,0,0,0,0,1,1,1
2023-02-14 08:30:39,JFK Airport,Outside of NYC,63.18,89.83,455.0,477.3,42.199710564399425,0,0,0,0,0,0,0,1,1,1
2023-01-01 15:09:45,Clinton East,Outside of NYC,66.42,82.48,454.5,472.25,48.317167798254125,0,0,0,0,0,0,0,1,1,1
2023-02-24 23:18:02,LaGuardia Airport,Outside of NYC,69.8,77.75,453.1,481.85,53.864951768488744,0,0,0,0,0,0,0,1,1,1
2023-03-03 20:34:43,Rosedale,Outside of NYC,78.86,85.98,450.0,497.55,55.03140265177948,0,0,0,0,0,0,0,1,1,1
2023-01-03 15:44:39,JFK Airport,Outside of NYC,79.2,129.22,450.0,452.25,36.774493112521284,0,0,0,0,0,0,0,1,1,1
2023-01-21 16:07:45,JFK Airport,Outside of NYC,75.6,90.8,450.0,473.55,49.95594713656388,0,0,0,0,0,0,0,1,1,1
2023-03-11 09:02:29,JFK Airport,Outside of NYC,66.88,76.3,448.9,466.65,52.592398427260804,0,0,0,0,0,0,0,1,1,1
2023-02-23 12:45:35,Upper East Side South,Parkchester,45.52,567.07,448.2,452.2,4.816336607473504,0,0,0,0,1,0,0,1,1,1
2023-03-02 18:22:47,JFK Airport,Outside of NYC,72.69,117.97,446.1,472.65,36.97041620751038,0,0,0,0,0,0,0,1,1,1
2023-01-13 16:25:28,JFK Airport,Outside of NYC,71.14,133.95,444.7,495.75,31.86562150055991,0,0,0,0,0,0,0,1,1,1
2023-02-07 15:09:13,N/A,Outside of NYC,72.11,143.88,444.7,447.45,30.07089241034195,0,0,0,0,0,0,0,1,1,1
