feature,importance
PULocationID,0.3026846109516536
avg_distance,0.20431871538913474
borough_idx,0.1826000188152524
pickup_hour,0.14577121511557414
avg_fare,0.13885496879506487
pickup_day_of_week,0.016476650412510098
is_weekend,0.009293820520810198
