summary,trip_distance,fare_amount,tip_amount,total_amount,trip_duration_min,passenger_count,avg_speed_mph
count,8807158,8807158,8807158,8807158,8807158,8807158,8807158
mean,3.4717377103939517,18.723267751073404,3.459980613497278,27.647035824653496,16.306994594624463,1.3807082829671047,12.918889439203708
stddev,25.246459533449414,17.160279256740363,3.8583516577960983,21.579490612577015,43.699133496996176,0.8824078862664126,235.44453798328718
min,0.01,0.01,0.0,1.01,0.02,1,2.3106873139415319E-4
25%,1.09,9.3,1.0,15.64,7.33,1,7.690802348336595
50%,1.8,12.8,2.8,20.3,11.83,1,10.062893081761008
75%,3.34,20.5,4.26,29.04,18.87,1,13.814744801512289
max,17456.83,1160.1,984.3,1169.4,7053.62,8,518811.4285714285
