column,q1,q3,iqr,lower,upper
fare_amount,9.3,20.5,11.2,-7.4999999999999964,37.3
trip_distance,1.1,3.3,2.1999999999999997,-2.1999999999999997,6.6
trip_duration_min,7.3,18.72,11.419999999999998,-9.829999999999995,35.849999999999994
